Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C70376,BS-2-1,QIJEY,-,,Battery Holder Coin TH,yes,1000,5,5,0.0478,47.80,https://www.lcsc.com/product-detail/C70376.html
2,C49246930,TMB12A03,XHXDZ,"Through Hole,D12xL9.5mm",,"Active Buzzer (Built-in Driving Circuit) 2.4kHz Electromagnetic 3V Through Hole,D12xL9.5mm Alarms, Buzzers, and Sirens RoHS",yes,200,5,5,0.1204,24.08,https://www.lcsc.com/product-detail/C49246930.html
3,C49304893,1uF50V5x11GF,Econd,"Through Hole,D5xL11mm",,"±20% 50V 1uF 3.95Ω Through Hole,D5xL11mm Aluminum Electrolytic Capacitors RoHS",yes,200,50,50,0.0077,1.54,https://www.lcsc.com/product-detail/C49304893.html
4,C52034661,5A4RUD,Guiguang light,"Through Hole,D=5mm",,"625nm 45° 400mcd~600mcd 20mA Red 5mm round lamp head 1.8V~2.2V Through Hole,D=5mm LED Indication - Discrete RoHS",yes,200,20,20,0.0129,2.58,https://www.lcsc.com/product-detail/C52034661.html
5,C2874602,2N3904,JSMSEMI,TO-92,,Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 625mW Through Hole TO-92,yes,200,50,50,0.0123,2.46,https://www.lcsc.com/product-detail/C2874602.html
6,C2896955,CR1/8W-1K±5%-ST52,VO,"Through Hole,D2.3xL3.7mm",,"1kΩ 125mW 200V Carbon Film Resistor ±350ppm/℃ ±5% Through Hole,D2.3xL3.7mm Through Hole Resistors RoHS",yes,400,100,100,0.0035,1.40,https://www.lcsc.com/product-detail/C2896955.html
7,C2896924,CR1/8W-10K±5%-ST52,VO,"Through Hole,D2.3xL3.7mm",,"10kΩ 125mW 200V Carbon Film Resistor ±350ppm/℃ ±5% Through Hole,D2.3xL3.7mm Through Hole Resistors RoHS",yes,200,100,100,0.0037,0.74,https://www.lcsc.com/product-detail/C2896924.html
8,C10077,GL5516(5-10),JCHL,"Through Hole,P=3.4mm",,"540nm 5kΩ~10kΩ 200kΩ Through Hole,P=3.4mm Photoresistors RoHS",yes,200,10,10,0.0324,6.48,https://www.lcsc.com/product-detail/C10077.html
9,C2896997,CR1/8W-2K2±5%-OT26,VO,"Through Hole,D2.3xL3.7mm",,"2.2kΩ 125mW 200V Carbon Film Resistor ±350ppm/℃ ±5% Through Hole,D2.3xL3.7mm Through Hole Resistors RoHS",yes,200,100,100,0.0049,0.98,https://www.lcsc.com/product-detail/C2896997.html
10,C2848520,CR1/8W-100K±5%-ST52,VO,"Through Hole,D2.3xL3.7mm",,"100kΩ 125mW 200V Carbon Film Resistor ±350ppm/℃ ±5% Through Hole,D2.3xL3.7mm Through Hole Resistors RoHS",yes,200,100,100,0.0032,0.64,https://www.lcsc.com/product-detail/C2848520.html
11,C2896925,CR1/8W-10M±5%-OT52,VO,"Through Hole,D2.3xL3.7mm",,"10MΩ 125mW 200V Carbon Film Resistor ±1000ppm/℃ ±5% Through Hole,D2.3xL3.7mm Through Hole Resistors RoHS",yes,200,100,100,0.0053,1.06,https://www.lcsc.com/product-detail/C2896925.html
12,C5205021,RM065-103(10K),BOCHEN,"Through Hole,7.3x6.4mm",,"10kΩ ±25% 100mW Through Hole Potentiometers, Variable Resistors",yes,200,10,10,0.0686,13.72,https://www.lcsc.com/product-detail/C5205021.html
13,C52750873,MLD-TS-6X6X5-J,Minlenda,"DIP-4P,6x6mm",,"Without Bracket 6mm 12V 6mm Round Button No SPST 50mA DIP-4P,6x6mm Tactile Switches RoHS",yes,200,50,50,0.0139,2.78,https://www.lcsc.com/product-detail/C52750873.html
14,C510566,NE555N,HTC,DIP-8,,DIP-8 Programmable Timers and Oscillators RoHS,yes,200,5,5,0.2313,46.26,https://www.lcsc.com/product-detail/C510566.html
15,C51912176,CD4026BE(XBLW),XBLW,DIP-16,,"Rising Edge 1 12MHz DIP-16 Counters, Dividers RoHS",yes,200,5,5,0.1836,36.72,https://www.lcsc.com/product-detail/C51912176.html
16,C141367,SM420561N,ARKLED,Through Hole,,Display Modules - LED Character and Numeric Red 7-Segment 1 Character Common Cathode Through Hole,yes,200,5,5,0.1301,26.02,https://www.lcsc.com/product-detail/C141367.html
17,C55109574,LM3915N(XBLW),XBLW,DIP-18,,DIP-18 LED Drivers ICs RoHS,yes,200,1,1,0.3096,61.92,https://www.lcsc.com/product-detail/C55109574.html
